record_id,district,place_name,latitude,longitude,elevation_m,distance_to_river_m,landcover,soil_type,water_supply,electricity,road_quality,population_density_per_km2,built_up_percent,urban_rural,rainfall_7d_mm,monthly_rainfall_mm,drainage_index,ndvi,ndwi,water_presence_flag,historical_flood_count,infrastructure_score,nearest_hospital_km,nearest_evac_km,flood_risk_score,flood_occurrence_current_event,inundation_area_sqm,is_good_to_live,reason_not_good_to_live,is_synthetic,generation_date
F100010,Hambantota,Mahakumbura Central,7.183534,80.031359,92,2381.7,Wetland,Clay,Rainwater harvesting,Grid,Fair,477,4.1,Rural,72.3,257.2,0.779,0.446,0.429,Likely,2,49,5.57,9.61,30.18,No,0,Yes,,True,2025-01-22
F100011,Vavuniya,Kudathota North,6.187311,80.542764,54,1154.2,Urban,Silty,Rainwater harvesting,Off-grid (solar),Poor (unpaved),327,1.0,Urban,156.1,256.7,0.176,0.294,0.303,Likely,0,37,4.24,7.21,41.59,No,0,Yes,,True,2024-02-22
F100012,Mannar,Galakanda,9.852201,80.811676,112,631.7,Urban,Clay,Rainwater harvesting,Off-grid (solar),Fair,261,5.7,Urban,50.8,8.0,0.376,-0.303,-0.315,Unlikely,0,56,10.71,4.85,6.67,No,0,Yes,,True,2025-04-06
F100013,Gampaha,Panakanda North,6.09325,80.923584,9,197.8,Agriculture,Clay,Well,Grid,Good (paved),1368,59.0,Urban,108.0,200.3,0.466,0.486,0.293,Likely,1,69,1.1,10.0,53.68,No,0,Yes,,True,2024-10-08
F100014,Kandy,Ihalamedura South,9.712932,80.518731,912,147.7,Urban,Loamy,Surface water,Grid,Good (paved),1188,62.7,Urban,22.8,352.3,0.595,0.257,0.138,Likely,2,47,3.72,8.99,48.12,No,0,Yes,,True,2024-02-14
F100015,Nuwara Eliya,Udaravila West,9.411822,80.9142,1105,2693.4,Forest,Loamy,Well,Grid,Good (paved),116,8.7,Rural,47.4,262.7,0.765,-0.491,0.05,Unlikely,0,45,1.91,17.53,24.92,No,0,Yes,,True,2025-07-18
F100016,Batticaloa,Panapola East,9.097953,79.855214,8,1594.9,Agriculture,Silty,Municipal,Grid,Poor (unpaved),447,37.6,Rural,48.2,68.4,0.632,0.151,-0.118,Unlikely,0,44,34.52,2.81,24.28,No,0,Yes,,True,2025-01-01
F100017,Kegalle,Nayathota,9.191838,81.781309,6,3002.5,Plantation,Sandy,Municipal,Grid,Good (paved),385,1.0,Rural,185.6,90.8,0.431,0.143,0.123,Likely,0,61,2.69,12.18,38.97,No,0,Yes,,True,2025-08-14
F100018,Nuwara Eliya,Pahalanuwara North,9.801051,79.677348,827,9913.7,Bare Soil,Silty,Well,Grid,Fair,745,21.8,Rural,1.8,544.5,0.36,0.344,-0.21,Unlikely,0,29,3.49,5.26,50.14,No,0,No,Poor infrastructure,True,2025-10-29
F100019,Matara,Panavila East,6.952797,80.669792,153,632.0,Forest,Sandy,Rainwater harvesting,Grid,Poor (unpaved),10,17.8,Rural,111.9,2.9,0.557,0.732,0.343,Likely,0,27,14.14,5.05,14.05,No,0,No,Poor infrastructure,True,2024-04-08
F100020,Gampaha,Udaranuwara North,6.049129,79.951167,70,2771.9,Scrub,Clay,Surface water,Grid,Good (paved),2455,48.3,Urban,124.6,95.0,0.285,0.036,-0.0,Unlikely,0,52,14.24,2.21,24.74,No,0,Yes,,True,2025-10-16
F100021,Galle,Galavila West,9.820294,79.848919,74,1308.0,Wetland,Peaty,Surface water,Mixed,Fair,2171,72.9,Urban,28.8,208.7,0.72,0.129,-0.207,Likely,1,75,5.93,7.18,21.72,No,0,Yes,,True,2025-07-24
F100022,Vavuniya,Panakumbura West,9.65268,80.757262,33,7827.3,Wetland,Loamy,Municipal,Grid,Good (paved),10,1.0,Rural,52.9,258.7,0.204,0.027,0.054,Likely,0,69,0.33,1.11,33.06,No,0,Yes,,True,2024-04-14
F100023,Matale,Kirithota Central,7.307858,79.721561,1473,880.1,Urban,Loamy,Well,Grid,Fair,1164,1.0,Urban,32.8,139.4,0.251,0.109,-0.009,Unlikely,0,41,6.06,7.65,18.34,No,0,Yes,,True,2024-02-12
F100024,Ampara,Galanuwara Central,6.048567,80.217983,84,1433.6,Agriculture,Peaty,Well,Grid,Good (paved),543,2.5,Rural,66.4,170.1,0.625,-0.17,0.055,Unlikely,0,76,12.45,4.14,17.09,No,0,Yes,,True,2025-08-20
F100025,Mannar,Kiriwatta Central,8.266008,81.307851,175,1662.3,Plantation,Peaty,Tube-well,Grid,Fair,867,1.0,Rural,30.9,279.5,0.591,0.035,0.199,Likely,0,42,29.53,4.05,26.32,No,0,Yes,,True,2024-05-14
F100026,Kalutara,Mahapitiya West,9.663973,80.902717,50,2934.9,Agriculture,Sandy,Well,Grid,Good (paved),613,9.8,Rural,20.2,43.9,0.649,-0.203,-0.037,Unlikely,0,52,0.52,27.61,4.48,No,0,Yes,,True,2025-11-26
F100027,Trincomalee,Ihalamulla East,8.672515,79.847703,45,1863.3,Plantation,Peaty,Tube-well,Grid,Poor (unpaved),142,16.2,Rural,72.8,306.9,0.369,0.524,-0.111,Unlikely,0,48,8.04,14.31,36.68,No,0,Yes,,True,2024-04-17
F100028,Vavuniya,Galakumbura Central,9.452662,80.533001,34,946.2,Scrub,Loamy,Well,Grid,Poor (unpaved),840,1.0,Rural,31.9,332.7,0.27,-0.119,-0.1,Unlikely,0,51,17.95,9.32,37.96,No,0,Yes,,True,2024-06-07
F100029,Badulla,Mahapola,8.947233,81.240706,1708,3015.3,Scrub,Clay,Well,Off-grid (solar),Good (paved),344,12.3,Rural,119.6,308.1,0.901,-0.543,-0.096,Unlikely,0,40,6.67,7.56,35.24,No,0,Yes,,True,2025-03-01
F100030,Trincomalee,Welimedura,7.300069,80.058595,41,4781.8,Forest,Loamy,Rainwater harvesting,Grid,Fair,10,46.9,Rural,255.7,220.7,0.394,0.152,0.118,Likely,0,15,10.67,16.34,53.57,Yes,196521,No,Poor infrastructure,True,2024-10-28
F100031,Puttalam,Nayakumbura East,6.397384,80.180789,163,361.9,Agriculture,Loamy,Municipal,Grid,Fair,575,13.0,Rural,171.8,89.5,0.726,0.363,-0.062,Unlikely,1,55,7.08,0.2,35.03,No,0,Yes,,True,2025-06-13
F100032,Polonnaruwa,Nayathota East,6.905317,80.949672,47,361.9,Agriculture,Loamy,Municipal,Grid,No road access,234,36.3,Rural,242.1,60.7,0.335,-0.118,-0.403,Unlikely,0,29,5.05,5.88,45.73,No,0,No,Poor infrastructure; No road access,True,2024-08-19
F100033,Polonnaruwa,Galakanda West,7.811871,80.920893,117,135.9,Forest,Loamy,Well,Grid,Fair,373,47.1,Rural,32.6,140.6,0.336,0.584,0.318,Likely,0,27,8.92,0.12,31.27,No,0,No,Poor infrastructure,True,2025-10-16
F100034,Mullaitivu,Nayathota Central,7.274049,80.931248,6,4368.9,Scrub,Clay,Rainwater harvesting,Grid,Poor (unpaved),964,27.9,Rural,37.9,30.8,0.425,0.183,0.218,Likely,2,58,3.61,0.21,24.9,No,0,Yes,,True,2024-06-25
F100035,Ratnapura,Udarakumbura East,8.427803,80.571176,19,1606.1,Plantation,Clay,Surface water,Grid,Poor (unpaved),10,10.2,Rural,137.7,195.0,0.237,0.889,0.168,Likely,0,43,33.28,4.48,43.16,No,0,Yes,,True,2025-08-22
F100036,Mannar,Polakanda East,8.699449,81.187164,38,3458.5,Forest,Sandy,Municipal,Grid,Fair,854,22.3,Rural,15.1,250.3,0.55,0.528,-0.333,Unlikely,0,61,4.15,8.84,25.48,No,0,Yes,,True,2024-05-30
F100037,Monaragala,Kudapitiya,6.090212,80.024138,65,2679.1,Agriculture,Peaty,Well,Grid,Good (paved),506,6.4,Rural,18.1,368.6,0.477,0.275,0.152,Likely,0,32,5.49,5.45,34.88,No,0,Yes,,True,2024-08-14
F100038,Kalutara,Weliwatta West,8.424497,80.717034,26,1064.8,Agriculture,Peaty,Municipal,Grid,Good (paved),51,33.8,Rural,188.1,150.8,0.327,0.586,0.321,Likely,0,72,8.11,23.65,39.8,No,0,Yes,,True,2024-08-30
F100039,Badulla,Nayamedura Central,7.882171,80.147721,1127,69.1,Plantation,Silty,Rainwater harvesting,Mixed,Fair,490,1.0,Rural,144.3,204.5,0.798,0.475,0.056,Unlikely,0,31,10.32,0.41,40.44,No,0,Yes,,True,2024-06-30
F100040,Puttalam,Kirithota,9.156107,80.861403,123,1468.6,Agriculture,Sandy,Well,None,Good (paved),700,38.2,Rural,44.3,130.0,0.254,-0.039,-0.169,Unlikely,0,12,3.28,4.44,23.43,No,0,No,Poor infrastructure,True,2024-05-11
F100041,Batticaloa,Polanuwara,6.867047,79.898567,30,702.8,Wetland,Loamy,Municipal,Mixed,Poor (unpaved),174,1.0,Rural,36.6,173.5,0.336,0.269,0.592,Likely,0,69,2.1,1.17,23.91,No,0,Yes,,True,2025-05-05
F100042,Kurunegala,Welikumbura East,6.048764,81.803858,78,1987.3,Forest,Sandy,Well,Grid,Fair,602,21.7,Rural,60.0,227.1,0.203,0.184,-0.033,Unlikely,0,60,2.55,3.89,27.98,No,0,Yes,,True,2025-05-28
F100043,Matara,Kudavila East,9.770389,81.589787,82,1600.8,Agriculture,Silty,Municipal,Grid,Fair,775,16.8,Rural,3.9,117.2,0.717,0.431,-0.283,Unlikely,0,50,12.77,6.45,8.83,No,0,Yes,,True,2024-12-21
F100044,Badulla,Kirimulla West,6.53723,80.0109,656,813.0,Agriculture,Clay,Surface water,Mixed,Fair,545,8.7,Rural,16.6,302.2,0.682,0.038,-0.149,Unlikely,0,34,0.07,10.24,27.06,No,0,Yes,,True,2025-01-17
F100045,Kalutara,Udupola East,7.047539,79.691462,2,1132.1,Urban,Sandy,Surface water,Off-grid (solar),Good (paved),344,39.9,Urban,99.2,103.4,0.205,-0.047,0.478,Likely,1,28,13.79,2.79,42.58,No,0,No,Poor infrastructure,True,2024-09-06
F100046,Kalutara,Mahavila East,8.667346,80.653281,39,639.4,Scrub,Silty,Tube-well,Grid,Good (paved),81,16.8,Rural,149.7,409.7,0.706,-0.207,0.415,Likely,0,59,17.96,1.57,50.29,Yes,59042,Yes,,True,2024-07-03
F100047,Trincomalee,Pahalakanda Central,8.179139,80.710948,64,1567.2,Urban,Sandy,Municipal,Grid,Fair,324,11.3,Urban,101.1,158.9,0.519,-0.043,-0.116,Unlikely,0,56,4.54,24.94,23.13,No,0,Yes,,True,2023-12-19
F100048,Ampara,Galamulla South,5.947063,79.813005,53,996.8,Agriculture,Sandy,Tube-well,Mixed,Poor (unpaved),1191,11.1,Urban,58.1,108.6,0.53,0.701,-0.006,Unlikely,0,36,3.16,4.38,16.52,No,0,Yes,,True,2024-04-29
F100049,Anuradhapura,Ihalakanda East,6.218243,80.543077,51,284.8,Scrub,Clay,Municipal,Grid,Good (paved),989,31.5,Rural,171.9,347.9,0.644,0.324,0.159,Likely,0,62,13.6,3.61,55.12,No,0,Yes,,True,2024-07-12
F100050,Mannar,Ihalanuwara South,6.065054,80.018999,107,1154.7,Wetland,Clay,Well,Grid,Good (paved),645,48.2,Rural,193.7,167.4,0.297,0.226,-0.199,Likely,0,56,1.99,3.25,37.16,No,0,Yes,,True,2025-05-16
F100051,Trincomalee,Panapola East,6.943616,80.690902,4,4054.0,Agriculture,Clay,Municipal,Grid,No road access,729,35.7,Rural,64.9,520.3,0.228,-0.308,-0.143,Unlikely,1,49,7.99,7.93,70.75,Yes,32040,No,High flood risk; No road access,True,2024-07-07
F100052,Kilinochchi,Kudakanda West,7.541506,81.004175,25,2002.3,Agriculture,Sandy,Municipal,Grid,Good (paved),519,1.0,Rural,188.8,63.3,0.63,-0.118,-0.407,Unlikely,0,60,7.3,3.03,29.4,No,0,Yes,,True,2025-02-09
F100053,Badulla,Pahalawatta South,6.85043,81.638347,762,1166.9,Wetland,Sandy,Municipal,Grid,Fair,272,1.0,Rural,43.7,42.0,0.079,-0.017,0.748,Likely,1,30,34.56,0.79,16.63,No,0,Yes,,True,2025-02-19
F100054,Hambantota,Pahalakanda East,9.693253,79.738523,52,260.5,Agriculture,Peaty,Well,Grid,Good (paved),669,18.5,Rural,133.3,255.4,0.483,-0.16,0.069,Unlikely,0,48,16.21,1.17,45.91,No,0,Yes,,True,2025-05-30
F100055,Badulla,Kudagama,9.294367,81.775382,787,1923.9,Urban,Silty,Rainwater harvesting,Grid,Fair,1051,23.6,Urban,144.1,302.2,0.405,0.174,-0.016,Unlikely,0,45,12.2,5.02,42.22,No,0,Yes,,True,2024-08-07
F100056,Colombo,Kudakanda West,6.341894,81.113651,104,4205.7,Agriculture,Peaty,Municipal,Grid,Good (paved),1430,60.8,Urban,28.7,414.1,0.603,-0.439,-0.538,Unlikely,0,91,7.08,1.11,35.29,No,0,Yes,,True,2025-12-06
F100057,Anuradhapura,Pahalakanda South,8.096573,81.790827,55,564.9,Forest,Clay,Tube-well,Grid,Fair,95,1.0,Rural,17.4,156.7,0.875,0.733,-0.349,Unlikely,0,38,7.69,4.44,12.3,No,0,Yes,,True,2024-08-02
F100058,Nuwara Eliya,Ihalagama South,7.144524,81.456808,35,1884.9,Agriculture,Loamy,Municipal,Grid,Fair,569,2.2,Rural,135.3,216.9,0.2,-0.134,-0.005,Unlikely,0,49,6.39,0.27,39.32,No,0,Yes,,True,2024-12-12
F100059,Kurunegala,Polanuwara,6.354833,79.655814,64,1800.5,Urban,Silty,Well,Mixed,Poor (unpaved),1125,30.4,Urban,152.9,58.9,0.446,0.214,0.147,Likely,0,52,4.41,1.0,22.06,No,0,Yes,,True,2024-05-27
F100060,Trincomalee,Udukumbura West,8.884339,81.591293,38,47.8,Forest,Sandy,Municipal,Grid,Fair,411,42.0,Rural,189.9,250.3,0.667,0.76,0.244,Likely,1,59,0.88,7.73,55.48,Yes,129039,Yes,,True,2025-06-25
F100061,Gampaha,Galathota East,9.029122,80.246015,117,1025.6,Wetland,Loamy,Well,Off-grid (solar),Fair,2357,16.3,Urban,37.8,231.4,0.169,0.318,-0.039,Likely,0,36,3.8,2.71,28.59,No,0,Yes,,True,2024-12-20
F100062,Gampaha,Mahamulla South,7.707727,80.400531,0,6522.8,Urban,Silty,Well,Grid,Poor (unpaved),1580,71.2,Urban,115.6,196.8,0.718,0.297,-0.059,Unlikely,2,32,5.66,1.04,50.14,No,0,Yes,,True,2024-07-18
F100063,Polonnaruwa,Nayagama Central,6.04645,80.332039,2,183.4,Agriculture,Clay,Well,Grid,Fair,50,21.6,Rural,116.6,333.8,0.49,0.075,0.142,Likely,0,50,0.68,3.09,65.06,No,0,No,High flood risk,True,2024-05-10
F100064,Kalutara,Galapitiya,6.522854,80.153132,55,5398.1,Agriculture,Sandy,Tube-well,Grid,Poor (unpaved),614,7.0,Rural,270.3,117.4,0.568,0.349,0.238,Likely,0,5,0.67,9.0,40.98,No,0,No,Poor infrastructure,True,2025-08-03
F100065,Vavuniya,Kudamulla West,7.651616,80.351586,123,223.3,Wetland,Silty,Tube-well,Grid,Good (paved),537,1.0,Rural,108.0,165.8,0.81,-0.003,0.147,Likely,1,54,5.7,34.28,33.67,No,0,Yes,,True,2025-08-30
F100066,Ratnapura,Mahamulla East,8.391639,80.339071,79,1110.5,Agriculture,Peaty,Well,Off-grid (solar),Fair,1136,1.0,Urban,42.0,107.8,0.019,-0.099,-0.37,Unlikely,0,43,2.21,22.35,18.74,No,0,Yes,,True,2025-01-05
F100067,Trincomalee,Galamulla Central,6.161698,79.745925,33,2077.4,Urban,Loamy,Municipal,Mixed,Good (paved),221,1.0,Urban,59.6,374.6,0.654,0.357,0.116,Likely,0,42,0.64,1.97,41.59,No,0,Yes,,True,2025-04-11
F100068,Hambantota,Kiripola,6.055627,81.678964,179,2153.8,Wetland,Loamy,Municipal,Grid,Good (paved),268,25.0,Rural,124.0,214.2,0.802,0.146,0.099,Likely,0,83,3.44,8.94,25.18,No,0,Yes,,True,2024-11-13
F100069,Matara,Polanuwara West,9.074563,80.448393,124,3550.2,Urban,Loamy,Well,Mixed,Poor (unpaved),10,17.7,Urban,2.6,62.2,0.32,0.244,-0.195,Unlikely,0,33,0.97,3.99,9.83,No,0,Yes,,True,2025-07-02
F100070,Kurunegala,Udarapitiya East,8.929696,81.476482,1,825.8,Agriculture,Peaty,Tube-well,Mixed,Good (paved),557,1.2,Rural,97.3,164.6,0.741,0.328,-0.042,Unlikely,1,45,14.76,7.82,38.8,No,0,Yes,,True,2024-03-02
F100071,Ratnapura,Galapitiya East,6.631408,79.771181,117,627.6,Urban,Silty,Tube-well,Grid,No road access,210,51.1,Urban,84.0,8.6,0.269,-0.024,-0.215,Unlikely,0,44,0.79,5.16,14.58,No,0,No,No road access,True,2025-03-03
F100072,Galle,Welimedura West,8.982542,80.010161,34,566.5,Scrub,Loamy,Municipal,Grid,Fair,1490,40.8,Urban,8.0,8.7,0.529,0.464,-0.196,Unlikely,0,51,3.67,2.38,7.98,No,0,Yes,,True,2025-09-30
F100073,Kalutara,Kirivila North,9.450436,81.891752,0,2560.8,Agriculture,Sandy,Well,Grid,Good (paved),10,24.0,Rural,134.6,44.1,0.67,-0.109,-0.141,Unlikely,0,63,6.59,4.93,30.33,No,0,Yes,,True,2024-06-21
F100074,Kurunegala,Welimedura Central,8.639695,81.461225,96,1379.3,Wetland,Silty,Surface water,Grid,Good (paved),284,40.1,Rural,8.1,130.9,0.329,0.07,0.347,Likely,0,70,8.09,9.24,13.43,No,0,Yes,,True,2024-11-05
F100075,Colombo,Panathota North,7.560115,81.539555,121,1772.3,Agriculture,Clay,Municipal,Grid,Poor (unpaved),531,35.2,Rural,29.6,222.5,0.073,0.051,0.128,Likely,0,30,5.28,0.86,29.53,No,0,Yes,,True,2025-03-24
F100076,Matale,Polapitiya East,6.10186,81.683805,839,14.1,Plantation,Silty,Well,Grid,Good (paved),493,15.1,Rural,19.9,47.4,0.311,0.411,-0.12,Unlikely,0,72,15.34,0.29,16.38,No,0,Yes,,True,2025-04-03
F100077,Matale,Polamedura Central,8.176071,80.428321,1228,180.8,Forest,Sandy,Municipal,Mixed,Good (paved),231,34.2,Rural,11.3,278.0,0.525,0.349,-0.209,Unlikely,0,50,2.95,17.63,35.76,No,0,Yes,,True,2024-09-20
F100078,Batticaloa,Udarakanda,6.362088,79.990305,5,3802.5,Urban,Loamy,Surface water,Grid,Good (paved),206,38.3,Urban,273.1,260.7,0.893,-0.63,-0.112,Unlikely,0,95,8.42,4.73,56.02,Yes,15121,Yes,,True,2025-02-18
F100079,Hambantota,Mahapitiya,9.165935,80.68329,11,359.9,Forest,Peaty,Municipal,Mixed,Poor (unpaved),210,40.9,Rural,1.5,142.3,0.439,0.331,-0.243,Unlikely,1,39,3.83,8.97,39.96,No,0,Yes,,True,2025-02-05
F100080,Hambantota,Mahagama North,6.692218,80.070127,34,2833.4,Wetland,Sandy,Municipal,Mixed,Fair,231,3.0,Rural,29.9,523.2,0.41,0.424,0.307,Likely,0,16,0.27,2.71,55.84,No,0,No,Poor infrastructure,True,2024-01-21
F100081,Kegalle,Polawatta,6.516022,80.640728,5,4281.2,Bare Soil,Peaty,Well,None,Fair,511,20.4,Rural,173.0,30.0,0.805,0.036,0.297,Likely,2,86,10.52,1.25,31.67,No,0,Yes,,True,2024-08-19
F100082,Badulla,Udunuwara Central,7.100784,81.715968,914,8856.7,Agriculture,Clay,Municipal,Off-grid (solar),Poor (unpaved),321,25.0,Rural,118.6,59.8,0.485,-0.015,0.062,Unlikely,0,47,7.61,3.43,18.54,No,0,Yes,,True,2024-02-16
F100083,Kandy,Kudawatta Central,8.88918,81.463941,609,63.2,Agriculture,Clay,Municipal,Grid,Good (paved),1833,35.2,Urban,83.8,338.9,0.548,0.052,0.364,Likely,1,50,13.18,0.37,50.4,No,0,Yes,,True,2025-05-16
F100084,Monaragala,Weliwatta South,6.954162,81.691189,90,235.3,Plantation,Sandy,Well,Grid,No road access,1019,1.0,Urban,122.2,170.0,0.253,0.398,-0.109,Unlikely,2,53,0.15,19.75,42.61,No,0,No,No road access,True,2025-10-07
F100085,Gampaha,Polavila East,8.164698,81.063536,181,1195.1,Urban,Loamy,Municipal,Grid,Fair,1766,37.4,Urban,37.4,332.8,0.271,-0.121,-0.089,Unlikely,0,54,36.1,5.9,35.23,No,0,Yes,,True,2025-11-23
F100086,Galle,Panakanda,6.870016,81.437801,54,10779.8,Urban,Clay,Surface water,Grid,Good (paved),1266,46.4,Urban,153.0,356.0,0.474,0.772,-0.164,Unlikely,0,27,7.37,13.38,49.85,Yes,94276,No,Poor infrastructure,True,2025-04-21
F100087,Badulla,Ihalamulla,9.739839,80.651804,1031,2256.7,Scrub,Sandy,Rainwater harvesting,Grid,Good (paved),809,13.5,Rural,19.8,256.5,0.344,0.046,0.027,Unlikely,0,51,2.18,3.81,25.49,No,0,Yes,,True,2024-09-24
F100088,Matara,Nayawatta South,7.241955,80.734592,77,658.9,Urban,Clay,Municipal,Grid,Good (paved),77,21.5,Urban,56.6,150.5,0.269,0.783,-0.04,Unlikely,0,72,7.68,0.73,19.39,No,0,Yes,,True,2024-05-17
F100089,Nuwara Eliya,Uduvila South,7.955018,81.617001,1560,9872.0,Agriculture,Sandy,Well,Grid,Poor (unpaved),431,12.8,Rural,7.8,323.5,0.802,0.137,0.036,Unlikely,0,28,0.97,2.91,27.56,No,0,No,Poor infrastructure,True,2024-03-10
F100090,Hambantota,Nayapitiya South,8.583791,79.857641,117,4611.6,Scrub,Clay,Well,Grid,Fair,1109,1.0,Urban,11.7,237.2,0.706,0.021,0.052,Unlikely,0,70,37.92,10.29,16.93,No,0,Yes,,True,2025-03-16
F100091,Anuradhapura,Kirikanda South,7.094915,80.743501,17,262.5,Scrub,Loamy,Tube-well,Off-grid (solar),Fair,477,1.0,Rural,118.6,494.4,0.209,-0.068,0.132,Likely,2,48,3.07,5.24,80.12,Yes,115687,No,High flood risk,True,2025-08-13
F100092,Matara,Kirigama,8.757623,81.198911,15,1126.1,Urban,Sandy,Tube-well,Grid,Good (paved),326,2.6,Urban,25.6,175.9,0.218,0.504,0.473,Likely,0,51,5.32,0.17,30.57,No,0,Yes,,True,2024-09-22
F100093,Vavuniya,Udaramedura East,8.054246,79.955525,43,5197.6,Agriculture,Loamy,Municipal,Grid,Good (paved),402,1.0,Rural,56.1,133.8,0.866,0.15,-0.194,Unlikely,0,95,1.47,1.7,10.75,No,0,Yes,,True,2024-12-31
F100094,Mannar,Panathota South,7.683787,80.33025,58,600.4,Bare Soil,Silty,Well,Grid,Fair,71,4.4,Rural,46.3,22.7,0.406,0.325,-0.307,Unlikely,0,48,0.32,3.87,7.88,No,0,Yes,,True,2025-06-28
F100095,Kilinochchi,Mahapitiya North,9.573118,79.947838,149,872.2,Scrub,Sandy,Well,Grid,Fair,918,10.2,Rural,56.1,116.2,0.489,0.263,-0.013,Unlikely,0,69,5.41,4.43,14.01,No,0,Yes,,True,2025-05-07
F100096,Monaragala,Polagama East,7.686956,81.012949,36,2587.2,Agriculture,Silty,Tube-well,Grid,Poor (unpaved),652,18.1,Rural,136.4,226.1,0.714,-0.099,0.221,Likely,0,54,0.25,12.34,35.05,No,0,Yes,,True,2025-01-23
F100097,Puttalam,Udaravila South,7.112552,80.45711,12,473.2,Urban,Silty,Tube-well,Off-grid (solar),Fair,708,10.4,Urban,128.5,267.4,0.214,0.277,-0.192,Unlikely,0,43,0.65,3.14,60.61,No,0,No,High flood risk,True,2024-10-21
F100098,Kandy,Ihalamulla West,5.999219,80.338809,1643,1721.0,Plantation,Loamy,Municipal,Grid,Good (paved),1892,30.7,Urban,86.9,357.0,0.742,0.607,-0.117,Unlikely,0,47,7.0,11.08,37.85,No,0,Yes,,True,2025-04-20
F100099,Gampaha,Udunuwara East,6.78806,79.725756,25,2851.0,Plantation,Silty,Well,Off-grid (solar),Fair,808,57.0,Rural,8.0,268.0,0.883,0.091,-0.252,Unlikely,0,43,10.2,3.08,30.35,No,0,Yes,,True,2025-02-22
F100100,Badulla,Panapola West,6.442005,81.066505,549,646.4,Plantation,Loamy,Municipal,Grid,Fair,454,14.1,Rural,72.4,94.7,0.318,0.228,0.066,Unlikely,0,43,19.26,2.84,18.36,No,0,Yes,,True,2024-01-18
F100101,Puttalam,Kudapola North,6.261623,81.195793,96,2003.2,Wetland,Silty,Rainwater harvesting,Off-grid (solar),No road access,409,29.4,Rural,5.3,31.1,0.57,0.401,0.402,Likely,0,37,4.54,3.67,5.19,No,0,No,No road access,True,2024-02-20
F100102,Kilinochchi,Panapitiya,8.469418,81.384256,63,1075.0,Plantation,Loamy,Tube-well,Grid,Poor (unpaved),52,5.0,Rural,173.4,307.7,0.441,0.265,-0.202,Unlikely,0,42,8.79,10.4,44.62,No,0,Yes,,True,2025-10-16
